bedcount,bedcount_total,Daily,CareProviderLocation,0,223
num_clients_long_term_support,personal_care_support_physical_support_65_and_over,Yearly,LA-National-Regional,15,6915
num_clients_long_term_support,substance_misuse_support_social_support_18_64,Yearly,LA-National-Regional,4,30
num_clients_long_term_support,substance_misuse_support_social_support_18_and_over,Yearly,LA-National-Regional,5,45
num_clients_long_term_support,substance_misuse_support_social_support_65_and_over,Yearly,LA-National-Regional,1,15
num_clients_long_term_support,support_for_dual_impairment_sensory_support_18_64,Yearly,LA-National-Regional,2,30
num_clients_long_term_support,support_for_dual_impairment_sensory_support_18_and_over,Yearly,LA-National-Regional,5,50
num_clients_long_term_support,support_for_dual_impairment_sensory_support_65_and_over,Yearly,LA-National-Regional,3,30
num_clients_long_term_support,support_for_hearing_impairment_sensory_support_18_64,Yearly,LA-National-Regional,2,55
num_clients_long_term_support,support_for_hearing_impairment_sensory_support_18_and_over,Yearly,LA-National-Regional,5,75
num_clients_long_term_support,support_for_hearing_impairment_sensory_support_65_and_over,Yearly,LA-National-Regional,3,45
num_clients_long_term_support,support_for_social_isolation_other_social_support_18_64,Yearly,LA-National-Regional,5,345
num_clients_long_term_support,support_for_social_isolation_other_social_support_18_and_over,Yearly,LA-National-Regional,5,500
num_clients_long_term_support,support_for_social_isolation_other_social_support_65_and_over,Yearly,LA-National-Regional,5,330
num_clients_long_term_support,support_for_visual_impairment_sensory_support_18_64,Yearly,LA-National-Regional,5,90
num_clients_long_term_support,support_for_visual_impairment_sensory_support_18_and_over,Yearly,LA-National-Regional,5,150
num_clients_long_term_support,support_for_visual_impairment_sensory_support_65_and_over,Yearly,LA-National-Regional,5,95
num_clients_long_term_support,support_with_memory_and_cognition_18_64,Yearly,LA-National-Regional,5,420
num_clients_long_term_support,support_with_memory_and_cognition_18_and_over,Yearly,LA-National-Regional,5,2585
num_clients_long_term_support,support_with_memory_and_cognition_65_and_over,Yearly,LA-National-Regional,5,2435
num_provider_locations,npl_adult_social_care,Monthly,LA-National-Regional,1,893
num_provider_locations,npl_care_home,Monthly,LA-National-Regional,0,489
num_provider_locations,npl_care_home_nursing,Monthly,LA-National-Regional,0,148
num_provider_locations,npl_care_home_residential,Monthly,LA-National-Regional,0,374
num_provider_locations,npl_community_care,Monthly,LA-National-Regional,1,467
num_provider_locations,npl_domiciliary_care,Monthly,LA-National-Regional,1,439
num_provider_locations,npl_extra_care_housing,Monthly,LA-National-Regional,0,24
num_provider_locations,npl_other_community_care,Monthly,LA-National-Regional,0,7
num_provider_locations,npl_supported_living,Monthly,LA-National-Regional,0,194
occupancy_rates,occupancy_rate_total,Daily,CareProviderLocation-LA-National-Regional,0,100
pansi,pansi_pred_pop_asd_aged_18_64,5 years,LA-Regional,18,65695
pansi,pansi_pred_pop_asd_aged_18_64_perc_change,5 years,LA-Regional,-2.68,23.27
pansi,pansi_pred_pop_challenging_behaviour_aged_18_64,5 years,LA-Regional,1,2955
